V1,V2,V3,V4,V5,V6,V7,V8,V9
0.7889565988,0.2857951128,0.8136800549,0.008134902,0.0815427781,0.7053486146,0.2620455413,0.5290271416,0.4887126728
0.0254960598,0.5472286413,0.1342474241,0.3461312593,0.4228835083,0.993155288,0.1684393887,0.4837945984,0.87022325
0.2538405426,0.4055913237,0.2960525432,0.6875798781,0.924901979,0.7592267736,0.276961294,0.5231093823,0.5104329784
0.4403996035,0.7600137694,0.4131812647,0.3928976923,0.3331401837,0.1900776331,0.9969637941,0.32825654,0.6422888967
0.5809052894,0.2463637686,0.9560834684,0.3037948501,0.3194173372,0.5555690939,0.8154850393,0.7245375819,0.6188300604
0.2566018365,0.5248148413,0.504923864,0.2648111971,0.881196724,0.1583511801,0.9908160588,0.5549218433,0.7907506081
0.0432512457,0.3310162118,0.1351381869,0.4097374857,0.1649983216,0.4756319108,0.8298714885,0.7669904248,0.9817808785
0.7527847381,0.7064727666,0.831667304,0.6202836665,0.6311841793,0.7331560615,0.8310336343,0.118843057,0.3857891157
0.5548179036,0.2833023437,0.1901877802,0.1549751579,0.4938702122,0.4039632839,0.1564181119,0.6582612356,0.8705690892
0.7687875377,0.2806786699,0.3598706762,0.1485618451,0.793695115,0.2385262975,0.5040507717,0.8437907507,0.5021601315
0.8561253124,0.9534779263,0.3647678979,0.3940963889,0.615984299,0.3324086689,0.572462579,0.9549365172,0.1243687496
0.3329181694,0.3694234935,0.465119879,0.4444356242,0.5577853739,0.6113165803,0.913543198,0.0113773576,0.7429889534
0.9217469955,0.1185381315,0.6956634957,0.659843574,0.4602108514,0.2774106949,0.0056520337,0.6613845574,0.5099247422
0.7325919755,0.8295968289,0.7125553344,0.2108865704,0.0849202236,0.4186396443,0.6766973857,0.3093731685,0.3403693046
0.3630039736,0.5633783145,0.5590038253,0.4756315977,0.3584967528,0.3510796062,0.361078186,0.9180735217,0.7905677571
0.5780156944,0.957034288,0.1507547118,0.1357908309,0.990556608,0.2950221184,0.150484059,0.5641243944,0.220486711
0.7806746394,0.656569375,0.0019396683,0.3161003385,0.0148848109,0.0555900845,0.6027753581,0.602749882,0.0580404885
0.5162915615,0.9183304855,0.0141822828,0.1673942958,0.194427083,0.4767238896,0.5988281074,0.978266143,0.7079519797
0.0174038727,0.633968584,0.1174608548,0.0137292433,0.49005109,0.3490899724,0.9320080359,0.3004797932,0.284951204
0.7063386559,0.9553830668,0.216682351,0.0908401979,0.834256829,0.9762105602,0.1477633498,0.1474624216,0.1383549504
0.932586537,0.7502142577,0.3800043436,0.9637664938,0.1346919886,0.7778487471,0.9024852063,0.0470167899,0.77252206
0.425904813,0.9345924095,0.8333111415,0.6177439687,0.3145068297,0.4563472723,0.065816452,0.7136033468,0.0102403848
