V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.7889565988,0.2857951128,0.8136800549,0.008134902,0.0815427781,0.7053486146,0.2620455413,0.5290271416,0.4887126728,0.860723163
0.0254960598,0.5472286413,0.1342474241,0.3461312593,0.4228835083,0.993155288,0.1684393887,0.4837945984,0.87022325,0.2310160114
0.2538405426,0.4055913237,0.2960525432,0.6875798781,0.924901979,0.7592267736,0.276961294,0.5231093823,0.5104329784,0.2343033624
0.4403996035,0.7600137694,0.4131812647,0.3928976923,0.3331401837,0.1900776331,0.9969637941,0.32825654,0.6422888967,0.0448814454
0.5809052894,0.2463637686,0.9560834684,0.3037948501,0.3194173372,0.5555690939,0.8154850393,0.7245375819,0.6188300604,0.7145970587
0.2566018365,0.5248148413,0.504923864,0.2648111971,0.881196724,0.1583511801,0.9908160588,0.5549218433,0.7907506081,0.8479692321
0.0432512457,0.3310162118,0.1351381869,0.4097374857,0.1649983216,0.4756319108,0.8298714885,0.7669904248,0.9817808785,0.1704123805
0.7527847381,0.7064727666,0.831667304,0.6202836665,0.6311841793,0.7331560615,0.8310336343,0.118843057,0.3857891157,0.6625700444
0.5548179036,0.2833023437,0.1901877802,0.1549751579,0.4938702122,0.4039632839,0.1564181119,0.6582612356,0.8705690892,0.0478633617
0.7687875377,0.2806786699,0.3598706762,0.1485618451,0.793695115,0.2385262975,0.5040507717,0.8437907507,0.5021601315,0.7403019755
0.8561253124,0.9534779263,0.3647678979,0.3940963889,0.615984299,0.3324086689,0.572462579,0.9549365172,0.1243687496,0.1851218874
0.3329181694,0.3694234935,0.465119879,0.4444356242,0.5577853739,0.6113165803,0.913543198,0.0113773576,0.7429889534,0.875984451
0.9217469955,0.1185381315,0.6956634957,0.659843574,0.4602108514,0.2774106949,0.0056520337,0.6613845574,0.5099247422,0.9950979922
0.7325919755,0.8295968289,0.7125553344,0.2108865704,0.0849202236,0.4186396443,0.6766973857,0.3093731685,0.3403693046,0.3363441511
0.3630039736,0.5633783145,0.5590038253,0.4756315977,0.3584967528,0.3510796062,0.361078186,0.9180735217,0.7905677571,0.5088662673
0.5780156944,0.957034288,0.1507547118,0.1357908309,0.990556608,0.2950221184,0.150484059,0.5641243944,0.220486711,0.2183415936
0.7806746394,0.656569375,0.0019396683,0.3161003385,0.0148848109,0.0555900845,0.6027753581,0.602749882,0.0580404885,0.5753837859
0.5162915615,0.9183304855,0.0141822828,0.1673942958,0.194427083,0.4767238896,0.5988281074,0.978266143,0.7079519797,0.4251616825
0.0174038727,0.633968584,0.1174608548,0.0137292433,0.49005109,0.3490899724,0.9320080359,0.3004797932,0.284951204,0.3610620757
0.7063386559,0.9553830668,0.216682351,0.0908401979,0.834256829,0.9762105602,0.1477633498,0.1474624216,0.1383549504,0.755803124
0.932586537,0.7502142577,0.3800043436,0.9637664938,0.1346919886,0.7778487471,0.9024852063,0.0470167899,0.77252206,0.5195539885
0.425904813,0.9345924095,0.8333111415,0.6177439687,0.3145068297,0.4563472723,0.065816452,0.7136033468,0.0102403848,0.3746618489
0.1855636814,0.2982164351,0.1648760703,0.9335073156,0.095652757,0.3049724766,0.1967003997,0.1758675918,0.0831552614,0.1575289429
0.2591156075,0.3870624835,0.1162860887,0.6020903715,0.8808160559,0.8250516572,0.8696874208,0.9630649942,0.8138187896,0.2666439202
0.2285144443,0.6054765191,0.7481695383,0.0709761705,0.7734426865,0.5915643654,0.9982679528,0.6909911965,0.7606268011,0.8970536967
0.7845754679,0.8073044477,0.7802188802,0.2272747764,0.0775675117,0.6298211487,0.8292704585,0.4912302133,0.0569675628,0.0843525822
0.3561476448,0.2587382128,0.9786273835,0.1149002942,0.1293725332,0.5069557533,0.9714898351,0.0834256334,0.8010230381,0.7743044132
0.3092189736,0.7229492988,0.1022540287,0.4545183866,0.2097620261,0.1900613331,0.9607069143,0.1541599031,0.6241876078,0.5587898036
0.4223048917,0.44263344,0.0706964603,0.5677404585,0.0203737202,0.9603261459,0.1461982601,0.5589938685,0.2535986544,0.7747305273
0.3417203426,0.8684225802,0.7060306412,0.118384765,0.2862566987,0.112254825,0.6762011719,0.6004026926,0.6248114035,0.0447126816
0.7629357458,0.5840890277,0.9788540853,0.6797611394,0.707533852,0.4068951691,0.4556803673,0.0240950591,0.1040858107,0.9816552198
0.7229539528,0.7072556007,0.8360644088,0.0672412629,0.0705424615,0.2064228549,0.9020249597,0.887094728,0.223652239,0.8413804318
0.6992451414,0.4079686764,0.505326764,0.8745846893,0.8712808306,0.0191333666,0.9741597245,0.3799889388,0.7710824301,0.8349027575
0.4082736832,0.7418313273,0.5250537849,0.5597191982,0.640835983,0.5146154067,0.3051185291,0.6026145343,0.2090272352,0.4681706883
0.7493357942,0.3738145162,0.1719199072,0.0161416146,0.1502013982,0.9982225357,0.2416351039,0.8042519579,0.8456105825,0.2850451106
0.5432755286,0.3567807302,0.4186863825,0.7789017924,0.1288738288,0.32702007,0.246555726,0.8966948278,0.4845657446,0.8508638935
0.8796369559,0.4036812179,0.2428249242,0.4454609009,0.1379495303,0.259129982,0.2589540158,0.2841852787,0.1620720711,0.6057958098
0.8459554501,0.4245469954,0.9927131466,0.7300420161,0.2292196723,0.4027439579,0.4810007687,0.9686225632,0.7480292534,0.2131761522
0.1369437319,0.8755176382,0.3537384958,0.3045521006,0.1666914544,0.835512429,0.5631163875,0.3712808301,0.4503106161,0.1633018721
0.839715089,0.1461119405,0.0738401662,0.4837270114,0.9622387672,0.4870560402,0.9616994248,0.7853693434,0.3992544718,0.2533426741
0.4803363113,0.6942802579,0.232361966,0.5423751925,0.0840708339,0.5605291054,0.7041400969,0.5239948393,0.9266330681,0.9208152825
0.4149218691,0.6174563393,0.1839056758,0.8667737821,0.5958154954,0.2288883724,0.4478362424,0.8665040806,0.3139094368,0.8372034959
0.1511982526,0.9815737761,0.9415152872,0.3276924852,0.2010292285,0.5147333394,0.6441818797,0.8590406715,0.1453145547,0.9719712862
0.1258575965,0.6746027502,0.3226626078,0.7049931821,0.4400034207,0.6633453877,0.1780606417,0.0092948284,0.4965647045,0.6380153694
0.488743518,0.1438823114,0.1158759224,0.5149858522,0.2152751335,0.6106288079,0.4131293793,0.9580559998,0.3550239985,0.5704110982
0.1432372495,0.6776114514,0.0376910432,0.474509117,0.3305196227,0.4787574576,0.2636782199,0.5699248482,0.2916197879,0.3520225072
0.8619989369,0.7426854828,0.6998245181,0.3788297726,0.834600576,0.21030188,0.1009023355,0.5044744706,0.9477917321,0.8064951971
0.6227246455,0.6500487074,0.4523583543,0.0591949883,0.7609209793,0.255372318,0.5465234991,0.0993667671,0.8014202954,0.8116567405
